Desert,Region,Shrub,ShrubID,Year,Plot,MH,MHcode,TranSide,TranDir,TurbTrt,FireTrt,RainTrt,WintRain,SeedTrt,Include,TotCov,VegHeight,EstBiomass,NatCover,InvCover,EroCover,SchCover,BroCover,BraCover,Crust,CryCrust,SpecRich,TotDens,NatDens,InvDens,InvDensPct,Alliu,Amdu,Amte,Anla,Aster,Astra,Borag,Brru,Brto,Caca,Cacl,Chbr,Chfr,Choriz,Chri,Chst,Cimo,Cobi,Crypt,Depi,Drci,Erci,Erdi,Ergr,Eriog,EriogComb,Erni,Erpr,Erpu,Erte,Erth,Esmi,Filag,Gist,Laca,Lego,Lela,Libi,Lidi,Loca,Lotus,Lupin,Maco,Magl,Meaf,Mobe,Pecto,Phace,Phdi,Phfr,Phme,Plagi,Plov,Scar,Stlo,Unkn,Unkn11,Unkn4,Unkn5-2,UnknM,UnknM8,Vuoc,ScarSeedPlot,BrruSeedPlot,AmteSeedPlot,ErciSeedPlot,ChfrFlorPlot,ErpuSeedPlot,GistSeedPlot,LidiSeedPlot,MaglFlorPlot,MeafSeedPlot,PectoNutletPlot,LegoSeedPlot,PlovSeedPlot,LelaSeedPlot,BrtoSeedPlot,MobeSeedPlot
Mojave,Main,1,MM1,2011,2096,UC,1,E,S,Y,UB,A,148,S,Y,15,3.5,0.005,NA,NA,NA,NA,NA,NA,NA,NA,5,19,8,11,57.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,174,0,0,78,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mojave,Main,1,MM1,2011,2095,CD,2,E,S,Y,UB,A,148,S,Y,25,2.5,0.668,NA,NA,NA,NA,NA,NA,NA,NA,3,23,3,20,86.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2565,0,0,108,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,1,MM1,2011,2094,ON,3,E,S,Y,UB,A,148,S,Y,15,3,0.003,NA,NA,NA,NA,NA,NA,NA,NA,4,66,6,60,90.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,840,0,0,125,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,1,MM1,2011,2093,OF,4,E,S,Y,UB,A,148,S,Y,35,4,2.047,NA,NA,NA,NA,NA,NA,NA,NA,6,134,8,126,94.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,7071,0,0,18,0,0,30,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,1,MM1,2011,2100,UC,1,W,S,N,UB,A,148,S,Y,7,3,0.002,NA,NA,NA,NA,NA,NA,NA,NA,4,11,3,8,72.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,3423,0,0,27,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,1,MM1,2011,2099,CD,2,W,S,N,UB,A,148,S,Y,15,3,0.003,NA,NA,NA,NA,NA,NA,NA,NA,4,44,4,40,90.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1256,0,0,285,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,1,MM1,2011,2098,ON,3,W,S,N,UB,A,148,S,Y,12,2.5,0.003,NA,NA,NA,NA,NA,NA,NA,NA,3,65,1,64,98.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,2376,0,0,90,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,1,MM1,2011,2097,OF,4,W,S,N,UB,A,148,S,Y,20,2,0.046,NA,NA,NA,NA,NA,NA,NA,NA,5,89,4,85,95.51,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,3900,0,52.385,160,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,2,MM2,2011,2088,UC,1,E,N,Y,B,A,148,A,Y,55,17,7.536,NA,NA,NA,NA,NA,NA,NA,NA,5,12,7,5,41.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,630,0,0,270,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,2,MM2,2011,2087,CD,2,E,N,Y,B,A,148,A,Y,40,5,2.805,NA,NA,NA,NA,NA,NA,NA,NA,8,37,10,27,72.97,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,943,0,9.4274,160,0,21.87,136,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,2,MM2,2011,2086,ON,3,E,N,Y,B,A,148,A,Y,25,4,1.077,NA,NA,NA,NA,NA,NA,NA,NA,6,57,22,35,61.40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,3,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,160,0,0,224,0,14.58,374,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,2,MM2,2011,2085,OF,4,E,N,Y,B,A,148,A,Y,5,4,0.002,NA,NA,NA,NA,NA,NA,NA,NA,4,11,3,8,72.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,29.16,0,0,28.45,0,NA,NA,NA,NA,NA,NA
Mojave,Main,2,MM2,2011,2092,UC,1,W,N,N,B,A,148,A,Y,60,10,6.110,NA,NA,NA,NA,NA,NA,NA,NA,5,10,4,6,60.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,167,0,0,250,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,2,MM2,2011,2091,CD,2,W,N,N,B,A,148,A,Y,40,7,3.351,NA,NA,NA,NA,NA,NA,NA,NA,4,38,8,30,78.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,300,0,0,405,0,0,224,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,2,MM2,2011,2090,ON,3,W,N,N,B,A,148,A,Y,20,4,0.592,NA,NA,NA,NA,NA,NA,NA,NA,5,29,5,24,82.76,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,0,207,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,2,MM2,2011,2089,OF,4,W,N,N,B,A,148,A,Y,15,3,0.003,NA,NA,NA,NA,NA,NA,NA,NA,6,37,5,32,86.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,224,0,0,20,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,3,MM3,2011,2080,UC,1,E,S,N,UB,A,148,A,Y,20,8,1.684,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,0,0.00,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.4066,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mojave,Main,3,MM3,2011,2079,CD,2,E,S,N,UB,A,148,A,Y,20,4.5,0.729,NA,NA,NA,NA,NA,NA,NA,NA,6,19,13,6,31.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3167,0,0,25,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mojave,Main,3,MM3,2011,2078,ON,3,E,S,N,UB,A,148,A,Y,25,4,1.077,NA,NA,NA,NA,NA,NA,NA,NA,4,69,22,47,68.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1658,0,0,63,0,170.586,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,3,MM3,2011,2077,OF,4,E,S,N,UB,A,148,A,Y,25,3.5,0.941,NA,NA,NA,NA,NA,NA,NA,NA,6,73,27,46,63.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,9,0,3,0,18,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1884,0,0,45,0,393.66,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,3,MM3,2011,2084,UC,1,W,S,Y,UB,A,148,A,Y,20,5,0.865,NA,NA,NA,NA,NA,NA,NA,NA,4,12,8,4,33.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mojave,Main,3,MM3,2011,2083,CD,2,W,S,Y,UB,A,148,A,Y,20,5,0.865,NA,NA,NA,NA,NA,NA,NA,NA,5,10,3,7,70.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,550,0,0,120,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
Mojave,Main,3,MM3,2011,2082,ON,3,W,S,Y,UB,A,148,A,Y,25,4.5,1.214,NA,NA,NA,NA,NA,NA,NA,NA,5,51,21,30,58.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,912,0,0,272,0,277.02,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,3,MM3,2011,2081,OF,4,W,S,Y,UB,A,148,A,Y,20,4,0.592,NA,NA,NA,NA,NA,NA,NA,NA,5,47,10,37,78.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,1,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,2168,0,0,48,0,204.12,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,4,MM4,2011,2072,UC,1,E,N,N,UB,A,148,A,Y,60,26,10.478,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,1,25.00,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.2398,15,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,4,MM4,2011,2071,CD,2,E,N,N,UB,A,148,A,Y,50,4,3.502,NA,NA,NA,NA,NA,NA,NA,NA,3,49,28,21,42.86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NA,0,0,169,0,0,896,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,4,MM4,2011,2070,ON,3,E,N,N,UB,A,148,A,Y,50,4,3.502,NA,NA,NA,NA,NA,NA,NA,NA,5,46,8,38,82.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,0,0,0,0,0,0,0,NA,0,0,70,0,0,90,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,4,MM4,2011,2069,OF,4,E,N,N,UB,A,148,A,Y,40,3,2.259,NA,NA,NA,NA,NA,NA,NA,NA,4,44,2,42,95.45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,NA,0,0,84,41.44,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,4,MM4,2011,2076,UC,1,W,N,Y,UB,A,148,A,Y,70,7,6.261,NA,NA,NA,NA,NA,NA,NA,NA,3,13,1,12,92.31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,0,0,558,41.44,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,4,MM4,2011,2075,CD,2,W,N,Y,UB,A,148,A,Y,80,6,6.958,NA,NA,NA,NA,NA,NA,NA,NA,7,51,10,41,80.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0,NA,0,0,144,0,7.29,170,0,0,NA,NA,NA,NA,NA,NA,NA
Mojave,Main,4,MM4,2011,2074,ON,3,W,N,Y,UB,A,148,A,Y,60,4,4.472,NA,NA,NA,NA,NA,NA,NA,NA,3,57,2,55,96.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,NA,0,0,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Mojave,Main,4,MM4,2011,2073,OF,4,W,N,Y,UB,A,148,A,Y,50,3,3.229,NA,NA,NA,NA,NA,NA,NA,NA,5,65,3,62,95.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,NA,0,0,88,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
